"Date","sentence_id","word_count","word_modifier","order_modifier","category_modifier","word_keyword","order_keyword","category_keyword","topic_keyword","distance","has_keyword","negator_in_front","score"
"2015/01/22",4,21,"decline",3,"Low modifier","oil_prices",6,"Hawkish Keyword","Prices",3,TRUE,FALSE,-1
"2015/01/22",4,21,"reinforced",8,"Positive modifier","oil_prices",6,"Hawkish Keyword","Prices",2,TRUE,FALSE,-1
"2015/01/22",4,21,"lower",12,"Low modifier","inflation",13,"Hawkish Keyword","Prices",1,TRUE,FALSE,-1
"2015/01/22",4,21,"more",16,"High modifier","monetary_policy",18,"Hawkish Keyword","Policy",2,TRUE,FALSE,1
"2015/01/22",4,21,"accommodative",17,"Low modifier","monetary_policy",18,"Hawkish Keyword","Policy",1,TRUE,FALSE,-1
"2015/01/22",5,20,"decline",8,"Low modifier","euro_area",11,"Hawkish Keyword","Finance",3,TRUE,FALSE,-1
"2015/01/22",5,20,"depreciated",17,"Positive modifier","euro",15,"Hawkish Keyword","Finance",2,TRUE,FALSE,1
"2015/01/22",6,27,"declined",22,"Low modifier","oil",20,"Hawkish Keyword","Prices",2,TRUE,FALSE,-1
"2015/01/22",6,27,"more",24,"High modifier","oil",20,"Hawkish Keyword","Prices",4,TRUE,FALSE,1
"2015/01/22",7,23,"low",17,"Low modifier","oil_prices",11,"Hawkish Keyword","Prices",6,TRUE,FALSE,-1
"2015/01/22",8,42,"decline",11,"Low modifier","demand",26,"Hawkish Keyword","Growth",15,TRUE,FALSE,-1
"2015/01/22",8,42,"shrinking",25,"Low modifier","demand",26,"Hawkish Keyword","Growth",1,TRUE,FALSE,-1
"2015/01/22",9,25,"fall",3,"Low modifier","oil_prices",5,"Hawkish Keyword","Prices",2,TRUE,FALSE,-1
"2015/01/22",9,25,"decline",18,"Low modifier","united_states",22,"Hawkish Keyword","Global",4,TRUE,FALSE,-1
"2015/01/22",10,25,"decreasing",9,"Low modifier","prices",6,"Hawkish Keyword","Prices",3,TRUE,FALSE,-1
"2015/01/22",10,25,"declines",14,"Low modifier","european",16,"Hawkish Keyword","Global",2,TRUE,FALSE,-1
"2015/01/22",10,25,"less",19,"Low modifier","european",16,"Hawkish Keyword","Global",3,TRUE,FALSE,-1
"2015/01/22",12,20,"lower",4,"Low modifier","inflation_outlook",5,"Hawkish Keyword","Prices",1,TRUE,FALSE,-1
"2015/01/22",14,35,"further",5,"High modifier","monetary_policy",6,"Hawkish Keyword","Policy",1,TRUE,FALSE,1
"2015/01/22",14,35,"lower",15,"Low modifier","euro_area",23,"Hawkish Keyword","Finance",8,TRUE,FALSE,-1
