"Date","VSTOXX","VSTOXX_T1","VSTOXX_T2","VSTOXX_T3","VSTOXX_T4","VSTOXX_T5","VSTOXX_T6","VSTOXX_T7","VSTOXX_T8","VSTOXX_T9","VSTOXX_T10"
"1999/01/05",48.9388694692919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1999/01/06",-16.5157479628444,48.9388694692919,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1999/01/07",25.6202475532385,-16.5157479628444,48.9388694692919,NA,NA,NA,NA,NA,NA,NA,NA
"1999/01/08",2.15977976868929,25.6202475532385,-16.5157479628444,48.9388694692919,NA,NA,NA,NA,NA,NA,NA
"1999/01/11",10.3131129020603,2.15977976868929,25.6202475532385,-16.5157479628444,48.9388694692919,NA,NA,NA,NA,NA,NA
"1999/01/12",1.96216481987714,10.3131129020603,2.15977976868929,25.6202475532385,-16.5157479628444,48.9388694692919,NA,NA,NA,NA,NA
"1999/01/13",5.6152377537793,1.96216481987714,10.3131129020603,2.15977976868929,25.6202475532385,-16.5157479628444,48.9388694692919,NA,NA,NA,NA
"1999/01/14",-1.52132751557406,5.6152377537793,1.96216481987714,10.3131129020603,2.15977976868929,25.6202475532385,-16.5157479628444,48.9388694692919,NA,NA,NA
"1999/01/15",-1.20808563487245,-1.52132751557406,5.6152377537793,1.96216481987714,10.3131129020603,2.15977976868929,25.6202475532385,-16.5157479628444,48.9388694692919,NA,NA
"1999/01/19",0.309837583266992,-1.20808563487245,-1.52132751557406,5.6152377537793,1.96216481987714,10.3131129020603,2.15977976868929,25.6202475532385,-16.5157479628444,48.9388694692919,NA
"1999/01/20",-8.72223252026258,0.309837583266992,-1.20808563487245,-1.52132751557406,5.6152377537793,1.96216481987714,10.3131129020603,2.15977976868929,25.6202475532385,-16.5157479628444,48.9388694692919
"1999/01/21",3.78132533854019,-8.72223252026258,0.309837583266992,-1.20808563487245,-1.52132751557406,5.6152377537793,1.96216481987714,10.3131129020603,2.15977976868929,25.6202475532385,-16.5157479628444
