"Date","VIX","VIX_T1","VIX_T2","VIX_T3","VIX_T4","VIX_T5","VIX_T6","VIX_T7","VIX_T8","VIX_T9","VIX_T10"
"1994/01/03",10.8281775926905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1994/01/04",-7.75206421605041,10.8281775926905,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1994/01/05",-4.73091957842611,-7.75206421605041,10.8281775926905,NA,NA,NA,NA,NA,NA,NA,NA
"1994/01/06",-1.75905857523286,-4.73091957842611,-7.75206421605041,10.8281775926905,NA,NA,NA,NA,NA,NA,NA
"1994/01/07",-4.54826694214745,-1.75905857523286,-4.73091957842611,-7.75206421605041,10.8281775926905,NA,NA,NA,NA,NA,NA
"1994/01/10",0.935455158888665,-4.54826694214745,-1.75905857523286,-4.73091957842611,-7.75206421605041,10.8281775926905,NA,NA,NA,NA,NA
"1994/01/11",-6.43170619295796,0.935455158888665,-4.54826694214745,-1.75905857523286,-4.73091957842611,-7.75206421605041,10.8281775926905,NA,NA,NA,NA
"1994/01/12",-4.69491439793273,-6.43170619295796,0.935455158888665,-4.54826694214745,-1.75905857523286,-4.73091957842611,-7.75206421605041,10.8281775926905,NA,NA,NA
"1994/01/13",-5.39800854134906,-4.69491439793273,-6.43170619295796,0.935455158888665,-4.54826694214745,-1.75905857523286,-4.73091957842611,-7.75206421605041,10.8281775926905,NA,NA
"1994/01/14",0.0897198375539698,-5.39800854134906,-4.69491439793273,-6.43170619295796,0.935455158888665,-4.54826694214745,-1.75905857523286,-4.73091957842611,-7.75206421605041,10.8281775926905,NA
"1994/01/17",-0.921662638245602,0.0897198375539698,-5.39800854134906,-4.69491439793273,-6.43170619295796,0.935455158888665,-4.54826694214745,-1.75905857523286,-4.73091957842611,-7.75206421605041,10.8281775926905
